title,url,price,ram,storage,graphics,display_size,generation,processor,discount
    MSI Sword 15 A12UCX 12th Gen Intel Core i5 12 ...,https://www.ryanscomputers.com/msi-sword-15-a12ucx-12th-gen-intel-core-i5-12450h-15.6-inch-fhd-display-white-gaming-laptop,"Tk 134,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Asus ZenBook 14 Flip OLED UP5401EA 11th Gen I ...,https://www.ryanscomputers.com/asus-zenbook-14-flip-oled-up5401ea-11th-gen-intel-core-i5-1135g7-14-inch-pine-grey-laptop,"Tk 135,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i5,not available
    Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 ...,https://www.ryanscomputers.com/lenovo-ideapad-gaming-3i-15ihu-intel-core-i7-11370h-shadow-black-gaming-laptop,"Tk 135,000 ",RAM - 16GB,Storage - 1TB HDD+256GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Microsoft Surface Laptop 4 Intel Core i5 1135 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-4-intel-core-i5-1135g7-13.5-inch-pixelsense-multi-touch-display-ice-blue-alcantara-surface-laptop,"Tk 137,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 11th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Laptop 4 Intel Core i5 1135 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-4-intel-core-i5-1135g7-13.5-inch-pixelsense-multi-touch-display-matte-black-metal-surface-laptop,"Tk 137,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 11th (Intel),Processor Type. - Core i5,not available
    Asus ZenBook Duo UX482EAR Intel Core i7 1195G ...,https://www.ryanscomputers.com/asus-zenbook-duo-ux482ear-14-inch-celestial-blue-laptop,"Tk 137,000 ",RAM - 16GB,Storage - 512GB,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Microsoft Surface Laptop 5 Intel Core i5 1235 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-5-13.5-inch-pixelsense-multi-touch-display-platinum-metal-surface-laptop,"Tk 138,000 ",RAM - 8GB,Storage - 256GB,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Laptop 5 Intel Core i5 1245 ...,https://www.ryanscomputers.com/microsoft-surface-laptop-5-intel-core-i5-1245u-13.5-inch-pixelsense-multi-touch-display-platinum-alcantara-surface-laptop,"Tk 138,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Pro 9 LTE Microsoft SQ3 13 ...,https://www.ryanscomputers.com/microsoft-surface-pro-9-lte-microsoft-sq3-13-inch-pixelsense-flow-display-platinum-2-in-1-detachable-laptop,"Tk 139,000 ",RAM - 8GB,Storage - 128GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13,Generation - Not Applicable,Processor Type. - SQ3,not available
    Asus VivoBook Pro 15 M3500QC AMD Ryzen 7 5800 ...,https://www.ryanscomputers.com/asus-vivobook-pro-15-m3500qc-15.6-inch-quiet-blue-laptop,"Tk 139,500 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Asus ZenBook 14 OLED UM3402YA AMD Ryzen 7 582 ...,https://www.ryanscomputers.com/asus-zenbook-14-oled-um3402ya-amd-ryzen-7-5825u-14-inch-oled-wqhd-display-jade-black-laptop,"Tk 139,500 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Lenovo IdeaPad Slim 5i Pro 14ITL-6 Intel Core ...,https://www.ryanscomputers.com/lenovo-ideapad-slim-5i-pro-14itl-6-intel-core-i7-1165g7-14-inch-antiglare-display-storm-grey-laptop,"Tk 140,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i7,not available
    MSI Cyborg 15 A12VE Intel Core i5 12450H 15.6 ...,https://www.ryanscomputers.com/msi-cyborg-15-a12ve-intel-core-i5-12450h-15.6-inch-fhd-display-black-gaming-laptop,"Tk 140,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 6GB,Display Size (Inch) - 15.6,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Apple MacBook Air (2022) Apple M2 Chip 13.6 I ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-chip-13.6-inch-liquid-retina-display-space-gray-macbook,"Tk 141,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Apple MacBook Air (2022) Apple M2 Chip 13.6 I ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-chip-13.6-inch-liquid-retina-display-starlight-macbook,"Tk 141,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Apple MacBook Air (2022) Apple M2 Chip 13.6 I ...,https://www.ryanscomputers.com/apple-macbook-air-2022-apple-m2-chip-13.6-inch-liquid-retina-display-midnight-macbook,"Tk 141,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.6,Generation - Not Applicable,Processor Type. - Apple M2,not available
    Asus ExpertBook B5 Flip B5302FBA Intel Core i ...,https://www.ryanscomputers.com/asus-expertbook-b5-flip-b5302fba-intel-core-i7-1255u-13.3-inch-fhd-led-touch-display-star-black-laptop,"Tk 141,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.3,Generation - 12th (Intel),Processor Type. - Core i7,not available
